                                                  

       SCF,CCSD
   -56.24879314,   -56.68236708
   -56.27590380,   -56.66433066
   -56.22743844,   -56.65881915
   -56.01683738,   -56.37272478
   -56.07441899,   -56.42909305
   -55.55554065,   -55.87861014
   -54.70853071,   -55.00439702
   -53.42909374,   -53.70103981
   -52.51176829,   -52.78141752
   -53.22612756,   -53.50452755
   -52.92858943,   -53.19732025
   -51.71435433,   -51.95901463
                                                  
